N,P,K,pH,Moisture,Fertility
39.44,34.01,20.81,5.89,25.0,Medium
29.17,7.52,11.04,4.84,21.86,Low
44.05,21.39,30.51,6.1,63.77,Medium
38.29,18.13,50.64,6.19,59.71,Medium
34.07,14.0,13.65,3.62,27.58,Low
66.08,39.22,37.89,7.5,60.92,Medium
37.69,32.97,39.39,6.82,25.0,Medium
85.22,61.98,48.79,6.91,58.2,High
38.37,41.22,34.41,6.79,25.29,Medium
50.17,37.25,25.97,5.5,27.91,Medium
40.25,21.32,17.31,4.35,39.03,Low
103.91,51.28,30.0,7.6,56.07,High
97.56,68.64,60.6,6.91,66.27,High
50.56,30.99,38.93,7.18,45.88,Medium
112.2,63.35,74.78,6.81,55.6,High
74.6,42.59,28.2,5.5,30.11,Medium
112.13,46.68,71.23,7.25,67.01,High
68.35,20.01,15.0,6.4,51.08,Medium
52.0,40.58,42.25,7.5,54.57,Medium
58.39,40.92,24.5,6.4,50.71,Medium
87.68,53.64,66.69,6.86,52.68,High
8.07,25.91,10.05,4.53,23.47,Low
99.48,68.29,56.88,7.94,71.61,High
109.3,41.57,58.22,6.63,59.62,High
35.34,8.01,3.23,4.08,31.67,Low
35.88,0.4,9.98,3.5,8.96,Low
34.65,13.5,12.62,4.43,15.46,Low
112.35,47.8,79.69,7.09,60.45,High
59.15,37.31,21.78,5.78,59.41,Medium
40.81,20.02,16.73,6.48,41.57,Medium
66.06,53.86,62.12,7.21,71.2,High
99.22,47.62,32.08,7.1,74.99,High
101.44,69.99,57.97,6.4,60.25,High
37.82,18.3,22.88,6.92,53.66,Medium
59.15,46.74,40.73,6.51,29.96,Medium
54.08,15.0,18.38,5.9,55.01,Medium
114.2,46.68,59.26,6.5,66.38,High
16.85,11.1,9.8,5.05,39.68,Low
41.47,41.47,35.92,5.61,70.0,Medium
43.61,31.99,31.49,7.3,51.37,Medium
10.22,7.43,0.0,4.35,26.96,Low
33.39,29.15,30.88,6.92,49.0,Medium
83.48,59.5,65.52,7.0,56.36,High
91.61,53.93,48.31,6.93,57.84,High
33.82,36.4,23.44,5.78,35.84,Medium
9.88,18.63,8.59,5.64,24.48,Low
43.02,33.57,29.39,6.15,36.56,Medium
32.5,18.02,7.2,6.0,25.51,Low
62.46,27.59,23.82,6.75,56.58,Medium
41.17,37.3,38.1,6.03,43.54,Medium
50.37,39.58,27.33,5.76,56.71,Medium
48.68,22.95,24.78,5.98,54.22,Medium
29.18,17.91,14.35,5.62,17.56,Low
106.76,54.86,53.41,6.97,78.36,High
51.89,35.93,30.59,6.64,45.32,Medium
106.23,43.06,47.42,6.32,67.04,High
22.63,4.76,5.76,5.21,17.1,Low
53.57,32.55,28.0,5.62,39.6,Medium
122.6,53.79,47.8,6.4,65.17,High
73.87,27.19,17.31,5.7,44.7,Medium
11.58,17.79,3.82,4.86,16.84,Low
22.91,19.96,15.88,4.32,24.32,Low
24.6,9.36,13.02,5.13,38.96,Low
43.86,31.63,15.0,7.05,54.35,Medium
91.3,55.36,47.77,6.0,74.21,High
47.18,47.82,34.31,6.25,60.55,Medium
95.04,53.78,67.86,6.57,58.63,High
30.0,33.43,37.26,6.37,25.0,Medium
39.58,10.82,2.81,5.01,22.5,Low
90.83,43.78,65.87,6.0,62.43,High
61.81,15.0,22.97,6.83,41.32,Medium
109.06,42.87,50.98,6.32,57.12,High
48.03,32.6,22.95,6.11,47.76,Medium
82.36,37.9,37.64,6.4,72.13,High
74.59,32.71,30.32,5.56,26.89,Medium
21.9,1.84,14.82,5.27,38.33,Low
82.23,66.68,62.86,6.44,65.91,High
55.59,36.89,32.98,6.86,62.06,Medium
12.77,9.38,1.3,4.54,31.15,Low
84.73,70.91,51.15,7.63,62.33,High
99.54,53.93,32.42,6.34,75.26,High
57.01,15.0,26.16,5.5,50.86,Medium
10.09,12.36,5.12,5.04,44.4,Low
86.3,33.25,56.11,6.12,57.65,High
32.35,13.79,14.63,5.53,17.64,Low
56.78,24.91,32.06,6.45,50.75,Medium
75.85,61.73,43.99,6.67,76.41,High
83.76,53.14,35.78,7.04,46.83,High
43.39,9.72,11.06,4.66,22.99,Low
19.9,10.49,12.69,4.41,23.6,Low
6.4,7.43,1.36,5.65,35.13,Low
41.17,15.29,36.77,7.35,54.35,Medium
38.17,13.84,10.44,4.38,31.94,Low
58.85,42.06,22.43,6.08,55.63,Medium
34.19,34.58,23.74,5.9,35.05,Medium
29.15,16.52,13.71,5.16,15.2,Low
45.18,40.81,33.88,5.5,45.72,Medium
63.0,39.94,18.07,5.98,68.27,Medium
115.74,53.92,64.39,7.72,60.37,High
126.2,39.11,46.67,6.25,54.18,High
49.74,35.51,52.78,6.42,69.41,Medium
30.84,33.67,27.72,6.08,29.5,Medium
28.12,11.99,1.57,5.35,15.3,Low
131.86,44.75,54.42,6.1,56.05,High
80.08,50.28,57.44,6.98,49.7,High
21.67,11.39,17.49,4.09,18.96,Low
120.89,57.25,66.26,6.9,72.5,High
57.82,45.13,40.54,6.07,56.75,Medium
71.58,26.49,29.22,7.1,55.28,Medium
30.04,10.64,10.21,3.93,29.34,Low
43.66,29.53,39.72,6.43,49.68,Medium
70.05,51.23,54.1,7.4,63.39,High
83.07,53.73,57.97,7.02,61.76,High
29.55,2.5,20.3,5.18,34.57,Low
21.96,13.34,9.15,5.14,29.33,Low
66.63,20.89,30.41,5.86,45.6,Medium
23.48,11.63,11.62,4.3,21.01,Low
26.02,5.04,9.95,6.0,34.32,Low
18.67,13.74,12.62,3.5,34.44,Low
8.37,14.16,8.04,4.73,22.09,Low
16.52,8.0,14.95,4.25,12.58,Low
21.76,9.05,2.93,4.62,22.58,Low
70.49,66.75,50.23,6.6,88.6,High
95.39,50.05,39.58,6.64,48.29,High
104.66,47.61,43.85,6.52,68.03,High
17.99,16.11,21.18,5.65,12.08,Low
45.42,0.0,16.68,4.51,22.32,Low
52.75,39.53,17.82,6.56,40.16,Medium
54.61,15.0,40.62,5.91,51.63,Medium
91.48,65.13,66.26,6.63,53.06,High
88.61,50.04,50.84,7.49,55.61,High
77.71,49.37,50.08,7.08,57.16,High
62.12,39.78,47.23,6.36,46.01,Medium
74.74,69.58,42.48,6.35,72.49,High
39.56,38.73,36.7,6.08,59.79,Medium
77.37,70.48,57.13,6.5,58.67,High
19.56,13.9,12.51,4.05,26.0,Low
71.02,22.84,15.0,6.02,59.59,Medium
22.57,6.53,12.44,5.39,26.5,Low
51.08,25.13,32.62,6.52,61.75,Medium
87.97,44.02,71.57,7.29,70.97,High
78.31,52.56,58.34,6.65,53.42,High
51.68,37.87,42.87,6.24,62.68,Medium
20.2,9.82,15.3,3.92,37.72,Low
48.43,27.53,20.15,6.07,41.5,Medium
51.21,38.61,37.54,6.01,38.11,Medium
78.59,52.55,53.22,6.56,51.99,High
70.28,29.42,42.57,6.68,55.87,Medium
15.74,13.47,15.3,5.47,42.74,Low
24.1,1.95,16.19,5.32,45.0,Low
57.81,15.0,22.26,5.68,67.65,Medium
13.64,18.36,23.87,5.81,28.76,Low
61.21,28.41,27.83,6.79,50.57,Medium
54.93,51.12,20.59,6.26,62.29,Medium
90.87,46.59,52.41,6.77,66.71,High
16.31,15.41,8.19,5.1,28.8,Low
48.44,26.53,27.05,6.64,36.65,Medium
38.67,15.0,36.12,5.5,30.65,Medium
30.63,13.33,13.32,5.29,12.08,Low
45.79,15.0,24.74,5.5,50.06,Medium
84.24,80.57,67.7,6.82,68.29,High
22.72,5.56,12.92,3.5,22.52,Low
90.01,47.76,36.06,7.26,63.61,High
28.3,9.69,7.6,4.25,31.64,Low
61.12,25.15,40.34,6.48,65.76,Medium
32.62,9.52,16.46,5.77,30.56,Low
89.6,70.0,54.26,7.15,61.63,High
67.67,35.82,28.75,5.71,41.32,Medium
27.95,7.28,7.28,5.79,31.77,Low
88.14,50.52,49.17,6.02,64.33,High
67.49,26.77,48.46,5.5,62.11,Medium
69.52,57.15,47.22,6.82,56.62,High
20.51,7.56,8.37,6.0,37.31,Low
40.07,21.45,20.85,6.87,60.91,Medium
62.57,42.65,34.3,5.97,51.97,Medium
21.04,13.28,11.5,3.82,31.22,Low
110.0,55.08,38.26,6.7,47.08,High
104.55,48.96,52.49,6.6,48.88,High
31.6,15.84,15.66,5.22,13.48,Low
44.44,34.56,24.05,6.59,26.92,Medium
43.18,15.0,27.73,6.8,53.72,Medium
35.76,7.18,16.64,4.95,21.79,Low
53.09,22.16,41.64,6.77,47.74,Medium
64.79,28.38,31.51,6.64,49.85,Medium
51.05,34.36,25.19,7.17,60.36,Medium
14.9,16.47,18.18,4.02,14.07,Low
80.41,59.01,39.12,6.01,50.17,High
30.0,21.75,47.72,6.14,43.63,Medium
109.52,58.94,51.2,6.54,65.15,High
51.18,19.71,34.33,6.8,38.04,Medium
86.01,53.34,42.55,7.24,52.07,High
45.15,15.0,20.47,5.51,48.7,Medium
24.4,12.74,8.48,5.58,5.0,Low
103.7,55.95,54.74,6.19,60.44,High
101.18,63.68,50.11,7.19,67.2,High
93.02,81.04,52.83,6.08,56.96,High
56.14,25.23,29.71,6.13,37.45,Medium
77.85,25.23,22.04,6.99,26.67,Medium
20.06,24.58,13.22,5.89,36.91,Low
54.63,35.5,23.44,6.25,51.66,Medium
54.2,30.22,16.21,7.28,40.46,Medium
41.12,19.62,19.19,5.5,39.37,Medium
76.36,22.12,25.21,6.21,66.07,Medium
37.88,19.21,33.54,6.52,41.31,Medium
54.21,31.68,39.62,6.0,37.97,Medium
28.49,14.05,23.62,5.74,35.14,Low
56.5,32.19,25.96,6.12,61.46,Medium
42.64,34.76,26.13,5.92,51.38,Medium
53.15,35.5,34.74,6.43,38.8,Medium
12.34,9.66,14.35,5.71,30.42,Low
50.25,45.9,38.64,5.99,45.91,Medium
46.89,15.24,29.13,6.32,30.18,Medium
67.31,20.75,28.65,5.62,41.58,Medium
91.3,50.99,56.83,6.9,59.15,High
27.59,10.2,25.44,4.91,7.37,Low
23.4,9.29,18.59,5.39,15.0,Low
101.88,60.33,63.24,6.84,57.32,High
117.05,52.6,63.24,7.72,51.77,High
52.89,15.0,30.85,5.5,41.12,Medium
59.83,35.01,23.23,5.61,70.0,Medium
73.7,54.62,52.91,6.59,62.74,High
18.39,14.69,12.88,4.79,12.91,Low
53.76,21.78,15.97,7.21,45.32,Medium
9.16,7.63,8.94,4.75,27.29,Low
70.61,37.42,34.86,5.85,59.17,Medium
98.01,54.19,43.82,6.69,47.1,High
43.72,0.0,9.68,6.0,26.48,Low
70.71,31.24,16.3,7.29,39.86,Medium
57.51,40.24,23.94,6.16,69.52,Medium
45.06,18.79,17.72,6.32,49.21,Medium
33.86,14.08,3.78,4.86,13.38,Low
78.76,70.31,43.3,7.08,47.0,High
18.96,13.0,16.75,4.66,6.4,Low
71.36,35.51,19.47,6.84,34.71,Medium
96.17,53.95,44.15,7.5,70.27,High
42.62,39.89,20.39,7.02,45.58,Medium
35.5,24.94,26.03,5.5,44.88,Medium
108.19,72.19,49.28,6.6,69.49,High
102.82,41.94,61.43,6.66,68.64,High
81.85,90.13,50.98,6.47,45.0,High
60.0,57.79,65.63,7.36,74.17,High
57.58,17.7,15.0,6.65,33.91,Medium
41.7,24.69,26.12,7.27,54.92,Medium
60.8,20.99,40.54,6.88,38.45,Medium
56.95,18.85,22.02,6.03,37.44,Medium
80.3,70.35,51.54,7.45,58.32,High
122.7,40.38,67.24,7.42,66.98,High
32.89,12.45,7.44,5.15,13.87,Low
52.57,39.57,28.35,6.6,26.33,Medium
51.18,37.44,55.0,7.5,61.31,Medium
56.1,26.55,35.96,6.59,59.85,Medium
54.24,26.63,25.85,7.32,57.9,Medium
75.0,32.42,15.0,6.44,50.09,Medium
87.54,65.34,49.6,6.03,63.7,High
48.44,45.66,36.21,7.17,45.86,Medium
43.0,10.98,15.0,4.54,33.86,Low
83.82,80.88,74.41,7.07,54.92,High
41.78,22.84,39.9,6.12,45.84,Medium
86.86,65.48,50.69,6.59,72.52,High
51.15,16.43,35.79,5.5,56.16,Medium
57.67,35.97,19.67,6.55,45.4,Medium
34.65,9.62,11.89,5.91,11.01,Low
32.06,13.46,11.45,4.6,30.35,Low
44.64,32.73,33.99,7.37,51.34,Medium
12.82,4.19,17.74,5.07,45.0,Low
47.64,36.06,28.42,5.77,39.44,Medium
68.81,44.13,35.06,7.04,45.0,High
94.4,61.87,55.89,6.47,76.04,High
24.59,6.96,11.57,3.56,26.45,Low
25.86,7.87,7.89,4.8,20.76,Low
27.11,2.56,0.0,4.78,36.62,Low
63.58,57.42,56.97,6.83,62.93,High
51.27,49.32,31.39,5.5,49.09,Medium
51.24,25.22,30.48,7.08,64.93,Medium
27.82,10.22,24.5,4.37,34.72,Low
107.79,30.62,56.51,6.83,76.96,High
26.48,9.67,13.93,4.65,40.53,Low
66.77,39.91,73.07,7.4,59.54,High
33.56,15.8,11.25,4.89,15.29,Low
35.95,8.47,0.7,6.0,20.82,Low
30.0,33.23,17.1,6.97,46.21,Medium
58.17,21.22,31.71,6.19,54.08,Medium
105.29,54.99,47.75,7.07,52.06,High
31.79,35.24,24.7,6.31,50.17,Medium
33.6,43.83,23.0,5.5,44.09,Medium
22.09,13.39,3.35,4.66,5.92,Low
29.23,18.33,21.87,4.17,25.77,Low
68.46,54.63,66.01,6.81,67.62,High
83.16,43.11,56.89,6.8,65.07,High
39.09,15.5,13.75,5.25,35.13,Low
75.26,28.08,45.38,6.48,51.98,Medium
34.29,26.74,29.7,6.01,45.26,Medium
6.98,9.37,10.58,5.11,45.0,Low
17.58,2.43,9.06,5.4,32.17,Low
40.93,23.54,22.68,7.09,31.71,Medium
45.76,9.04,9.24,6.0,26.27,Low
102.4,71.32,64.95,7.67,56.59,High
60.74,41.51,25.16,6.25,45.63,Medium
48.64,28.31,21.37,7.45,49.63,Medium
46.56,16.8,13.08,4.53,17.27,Low
39.19,28.84,33.74,6.77,54.16,Medium
91.24,49.91,65.19,7.2,71.91,High
17.96,2.56,14.61,4.47,26.49,Low
33.05,3.38,10.71,5.65,24.96,Low
84.48,36.15,51.21,7.04,68.38,High
73.58,58.39,52.41,6.24,54.0,High
107.92,68.12,58.69,6.84,45.0,High
52.57,40.36,32.33,6.62,41.7,Medium
46.34,27.39,28.14,7.03,45.83,Medium
97.0,51.12,31.11,6.59,65.74,High
70.27,44.2,57.16,6.55,59.78,High
46.55,28.09,42.72,5.83,45.84,Medium
79.62,30.0,70.76,6.66,60.78,High
66.01,55.57,50.33,6.57,67.44,High
53.69,36.81,19.62,7.25,64.42,Medium
39.03,45.65,36.32,6.78,59.51,Medium
105.73,55.93,53.53,7.29,55.94,High
30.0,28.22,16.03,5.99,53.3,Medium
6.8,8.19,21.68,5.51,33.96,Low
37.0,8.8,9.84,4.3,24.49,Low
110.34,54.34,56.67,6.74,60.23,High
92.67,59.25,63.75,7.2,73.22,High
75.38,15.0,42.91,5.86,49.67,Medium
118.55,52.73,51.76,6.48,74.95,High
64.35,15.0,46.25,7.5,46.04,Medium
50.23,38.9,39.15,6.56,37.44,Medium
84.44,42.63,61.14,6.27,65.98,High
49.33,25.68,42.95,6.69,43.47,Medium
51.08,21.19,24.93,5.96,63.62,Medium
3.7,8.11,11.24,5.39,12.65,Low
83.11,59.56,67.58,7.03,59.47,High
38.86,0.74,2.27,6.0,18.01,Low
85.13,70.04,60.85,6.18,45.0,High
48.06,33.02,29.64,6.83,49.63,Medium
9.5,13.98,12.86,5.81,6.32,Low
72.05,40.45,46.48,6.78,37.84,Medium
67.64,15.0,23.21,5.75,57.1,Medium
62.51,51.98,46.53,6.84,64.03,High
96.81,66.82,49.1,6.2,73.76,High
33.92,24.13,43.17,5.86,67.16,Medium
73.64,46.46,32.56,6.87,63.35,Medium
47.12,23.15,34.48,5.9,43.18,Medium
27.88,17.5,10.61,5.13,36.29,Low
84.62,40.57,54.86,6.19,68.73,High
54.65,15.25,27.58,5.8,38.67,Medium
26.32,18.61,11.18,3.89,28.25,Low
38.43,14.34,10.84,5.71,39.73,Low
41.04,32.12,33.43,6.71,47.49,Medium
21.12,11.52,9.57,5.38,17.77,Low
67.3,49.12,43.34,6.96,68.43,High
13.94,12.28,15.04,5.06,16.7,Low
66.71,39.62,55.0,6.43,68.24,Medium
78.05,77.4,30.0,6.3,54.99,High
90.6,75.76,37.61,6.81,68.38,High
81.06,73.81,48.33,6.55,58.06,High
0.0,15.48,20.9,5.54,35.94,Low
93.61,67.33,44.73,6.64,66.68,High
112.64,30.0,67.24,6.98,63.83,High
72.95,55.0,34.0,5.65,64.07,Medium
39.41,41.34,22.82,6.49,44.4,Medium
21.76,6.72,22.75,4.98,37.86,Low
91.23,31.7,57.58,6.86,52.29,High
104.75,51.27,63.92,6.28,78.7,High
72.17,15.0,33.57,7.46,34.35,Medium
29.78,6.94,6.97,6.0,16.6,Low
30.99,20.71,8.44,5.12,23.81,Low
32.13,1.47,14.6,5.18,34.68,Low
16.86,20.27,24.05,6.0,11.77,Low
84.67,54.4,72.39,6.0,74.43,High
31.7,9.09,11.35,5.4,25.85,Low
64.4,29.24,17.21,6.7,53.68,Medium
71.54,33.44,22.82,7.5,55.37,Medium
60.26,48.58,36.8,6.99,64.08,High
103.71,59.16,54.36,6.89,65.32,High
37.58,12.75,9.19,5.19,24.56,Low
44.13,24.78,15.0,6.78,70.0,Medium
93.8,67.73,55.87,6.03,61.92,High
27.25,11.49,10.55,5.0,22.3,Low
62.96,48.32,28.31,6.06,48.96,Medium
31.63,30.4,34.02,6.85,42.78,Medium
25.43,9.71,10.9,5.17,34.64,Low
103.75,55.5,49.44,6.82,63.4,High
52.2,32.1,24.24,7.33,36.11,Medium
80.15,32.49,36.13,6.29,61.02,High
28.34,24.23,10.54,5.11,10.73,Low
88.86,58.81,64.78,7.81,56.74,High
60.0,51.08,44.93,6.72,46.8,High
44.85,30.14,18.12,5.5,36.64,Medium
82.23,59.09,30.0,7.22,70.96,High
40.0,22.86,46.44,5.93,52.72,Medium
43.96,37.86,47.98,6.02,52.86,Medium
18.22,15.07,23.62,4.88,18.59,Low
31.61,10.24,1.55,5.06,30.8,Low
33.66,13.87,22.51,4.31,39.62,Low
84.08,57.73,47.61,6.7,77.96,High
55.81,55.0,42.49,6.74,56.39,Medium
30.0,21.51,25.68,7.5,46.79,Medium
78.39,39.55,29.02,6.97,65.8,Medium
43.14,22.22,15.97,5.86,35.13,Low
52.03,31.11,35.01,6.66,50.14,Medium
96.18,65.41,44.41,6.27,59.59,High
36.93,5.05,12.87,4.47,26.31,Low
53.4,37.51,28.39,6.02,31.68,Medium
77.29,58.58,62.03,7.69,53.15,High
57.44,41.55,27.53,5.7,59.87,Medium
91.98,50.55,59.83,7.13,55.49,High
58.53,23.29,25.05,6.54,41.7,Medium
26.78,6.17,24.82,4.66,23.22,Low
41.59,20.75,8.71,6.0,18.9,Low
18.68,17.07,14.46,5.82,20.79,Low
81.46,54.99,36.13,7.34,64.61,High
74.61,43.45,73.58,6.12,56.05,High
52.31,31.25,49.6,5.64,31.44,Medium
97.39,77.11,44.68,7.19,53.85,High
65.13,26.45,31.07,6.09,32.28,Medium
79.69,45.86,64.04,6.47,45.0,High
47.93,24.71,15.0,5.5,55.66,Medium
89.94,86.72,56.4,7.16,72.99,High
56.34,22.24,15.59,6.7,32.09,Medium
19.72,17.52,2.19,5.16,29.82,Low
63.4,32.67,15.0,6.07,43.94,Medium
51.91,31.17,27.95,7.48,68.0,Medium
93.51,48.25,58.01,6.72,50.58,High
98.17,60.7,69.93,7.04,45.0,High
86.56,45.67,64.65,6.62,60.86,High
67.16,42.77,22.86,5.66,38.68,Medium
24.7,6.46,10.71,3.79,25.36,Low
62.75,35.69,19.35,6.75,35.19,Medium
6.71,16.06,11.99,5.73,32.92,Low
91.71,38.86,74.4,6.0,67.3,High
49.73,27.4,39.33,5.88,35.73,Medium
36.14,25.01,19.36,5.41,43.09,Low
76.68,58.81,64.07,7.49,71.72,High
96.29,52.68,60.26,6.0,76.8,High
57.75,24.55,37.58,6.42,43.39,Medium
85.05,78.38,39.18,6.85,65.48,High
47.07,39.04,50.72,7.09,63.42,Medium
60.0,62.6,48.68,7.33,51.65,High
28.63,24.95,8.14,5.64,26.91,Low
55.57,36.56,15.0,6.78,57.15,Medium
93.54,73.67,56.86,7.16,64.14,High
106.44,41.14,54.55,6.64,69.86,High
89.05,30.0,66.16,7.27,75.24,High
66.64,27.23,29.46,6.71,49.76,Medium
54.8,34.14,26.76,6.24,37.78,Medium
32.96,5.35,8.98,5.74,19.14,Low
44.11,26.9,15.0,6.52,42.99,Medium
40.09,15.0,15.0,5.5,61.94,Medium
31.61,40.0,27.88,5.98,48.33,Medium
43.38,9.25,14.11,3.62,18.93,Low
63.1,20.95,31.44,5.5,49.1,Medium
78.09,38.86,57.06,7.73,64.41,High
28.81,2.96,12.91,5.13,32.42,Low
126.29,30.7,47.24,6.41,83.18,High
73.58,67.42,57.84,6.69,82.72,High
63.44,35.53,41.98,5.5,43.55,Medium
90.88,66.26,60.61,6.3,58.78,High
37.18,4.38,10.92,5.19,45.0,Low
77.77,43.13,54.37,8.0,59.44,High
54.92,29.72,32.37,5.5,45.22,Medium
48.82,51.06,33.83,7.5,50.05,Medium
90.29,58.64,69.42,6.92,45.0,High
40.55,25.87,27.02,5.99,42.49,Medium
120.4,67.58,45.5,7.54,59.32,High
80.63,77.89,33.07,6.13,69.53,High
102.64,75.43,68.92,6.6,62.67,High
103.71,36.52,54.62,7.32,63.76,High
62.57,41.35,40.2,6.16,58.74,Medium
52.87,24.17,26.84,7.0,57.82,Medium
48.95,37.96,27.38,5.81,56.93,Medium
80.59,41.8,63.56,7.76,71.32,High
40.69,26.13,45.5,6.26,61.01,Medium
104.2,59.82,61.4,6.28,61.36,High
50.38,34.31,22.24,6.38,43.46,Medium
72.83,44.92,35.84,6.0,59.46,High
49.12,36.58,46.76,5.71,37.26,Medium
34.16,14.87,13.96,4.87,12.19,Low
26.95,9.86,20.68,4.99,37.31,Low
23.2,12.92,9.12,4.81,11.74,Low
34.88,19.8,10.06,4.87,22.52,Low
72.23,64.71,58.15,7.39,65.64,High
50.44,29.25,19.48,6.93,38.63,Medium
12.43,5.43,6.5,5.0,19.34,Low
33.26,27.54,28.87,7.11,49.06,Medium
17.98,13.81,12.79,4.82,32.92,Low
16.04,13.26,7.31,5.07,40.62,Low
31.07,11.91,12.88,4.09,28.12,Low
105.77,47.58,39.28,6.74,53.4,High
83.67,56.25,71.01,6.1,62.99,High
12.62,16.09,11.35,4.37,20.45,Low
27.69,16.1,18.04,4.6,29.41,Low
22.61,3.83,13.07,5.13,23.32,Low
84.72,54.6,60.24,6.87,79.92,High
22.71,0.0,14.33,4.13,17.44,Low
27.95,11.66,18.11,3.57,23.61,Low
54.07,29.65,36.42,6.44,38.69,Medium
54.05,25.08,21.16,6.89,40.0,Medium
52.66,34.48,24.7,6.32,49.03,Medium
54.8,17.59,18.99,6.94,43.79,Medium
76.79,61.65,57.11,6.0,74.41,High
85.11,62.35,63.79,7.11,77.38,High
72.85,49.0,60.65,7.27,54.14,High
46.35,21.71,36.91,7.06,42.75,Medium
29.54,20.81,12.03,4.3,25.12,Low
104.2,58.83,42.84,7.11,54.13,High
39.78,15.35,25.35,6.34,59.13,Medium
85.52,57.49,57.23,7.76,71.14,High
101.77,41.3,59.29,6.45,66.18,High
82.27,64.44,44.49,7.15,45.91,High
83.24,63.35,45.78,6.0,66.67,High
98.3,67.68,70.99,6.0,58.39,High
37.7,52.13,32.05,6.39,43.96,Medium
26.81,11.57,13.64,5.12,20.04,Low
37.67,7.22,7.84,4.84,42.31,Low
16.41,15.97,12.56,4.47,28.01,Low
13.48,12.1,3.22,4.47,33.51,Low
24.89,19.22,8.35,5.99,21.8,Low
121.12,70.48,47.99,6.82,51.15,High
43.08,49.36,23.73,6.67,49.95,Medium
66.1,15.0,16.98,7.5,26.98,Medium
21.34,8.63,20.43,6.0,22.03,Low
79.77,70.87,51.12,6.94,53.49,High
66.41,35.62,39.6,5.85,70.0,Medium
26.4,21.96,3.55,4.98,19.59,Low
75.48,49.28,63.01,7.34,45.0,High
48.06,25.52,15.87,6.71,51.75,Medium
34.38,7.94,8.91,4.43,42.85,Low
11.28,20.26,15.25,5.12,18.23,Low
71.44,15.0,27.02,6.59,25.48,Medium
92.84,45.44,62.4,7.2,75.6,High
128.04,55.34,42.45,6.61,62.51,High
80.45,51.63,71.49,6.86,68.68,High
19.59,7.74,13.5,5.61,23.87,Low
96.55,69.36,62.88,6.94,66.23,High
113.98,44.96,61.87,6.6,60.75,High
47.88,32.99,33.18,6.27,56.87,Medium
41.92,19.39,4.63,5.79,19.13,Low
68.03,26.25,33.84,5.65,25.0,Medium
117.62,35.92,55.43,7.21,55.33,High
17.12,11.78,6.46,5.57,29.59,Low
77.63,52.97,57.43,6.11,71.29,High
67.88,35.9,88.27,7.59,59.73,High
33.5,26.53,39.21,6.42,58.21,Medium
15.66,16.35,16.39,5.28,22.63,Low
74.86,52.29,53.75,6.66,58.12,High
6.43,5.03,10.12,4.33,32.22,Low
47.66,31.45,33.0,6.92,61.89,Medium
59.89,23.3,42.19,5.5,61.2,Medium
68.07,38.31,39.41,6.33,65.29,Medium
116.85,44.18,87.21,6.65,65.31,High
59.35,32.62,48.22,7.21,55.89,Medium
98.63,72.05,44.65,6.31,73.07,High
10.18,12.28,13.51,5.09,8.89,Low
46.4,29.45,30.66,5.79,34.06,Medium
93.26,53.52,49.53,6.64,68.74,High
33.61,12.14,19.55,5.41,13.84,Low
105.69,41.85,62.58,6.4,61.56,High
25.74,13.32,16.08,4.49,40.18,Low
43.16,23.48,33.08,6.37,62.52,Medium
85.33,70.26,65.25,7.05,76.55,High
115.46,49.62,55.27,7.48,69.69,High
46.04,32.41,23.78,6.56,48.22,Medium
54.49,23.05,49.28,6.3,54.73,Medium
84.54,53.17,50.47,6.45,62.52,High
39.04,34.22,18.85,7.05,25.0,Medium
27.45,7.9,13.92,6.0,18.54,Low
58.26,28.27,35.61,7.5,51.9,Medium
34.8,34.27,29.58,5.93,41.51,Medium
27.48,10.12,8.01,4.25,31.09,Low
57.45,24.54,24.66,6.46,59.18,Medium
69.72,41.71,47.56,6.57,45.0,High
100.31,47.32,52.87,6.33,52.78,High
62.57,54.44,42.01,7.12,52.52,High
20.2,20.88,8.18,5.0,41.26,Low
90.75,49.24,40.38,6.98,57.22,High
80.76,60.37,57.89,6.92,65.36,High
73.44,50.07,50.65,6.32,79.34,High
19.69,10.89,15.25,5.24,25.34,Low
68.43,42.02,39.43,6.24,88.42,High
40.9,9.22,14.69,3.84,17.47,Low
36.69,32.42,22.91,5.84,59.56,Medium
28.51,0.97,14.17,5.41,44.68,Low
19.2,12.97,12.95,4.57,17.48,Low
22.78,9.62,15.08,3.65,19.79,Low
59.05,21.08,32.15,6.92,37.55,Medium
113.84,68.42,55.67,7.23,82.28,High
92.1,51.04,42.98,7.83,57.94,High
51.08,25.29,34.67,6.35,32.25,Medium
43.02,37.49,55.0,5.77,55.74,Medium
46.14,37.33,44.33,7.14,44.5,Medium
65.31,33.75,49.02,6.77,38.34,Medium
63.51,17.46,15.0,6.32,54.56,Medium
34.24,5.75,7.6,6.0,33.83,Low
29.66,7.69,4.18,5.68,26.28,Low
42.21,30.51,29.85,5.85,28.63,Medium
61.28,45.52,30.05,5.8,63.05,Medium
44.4,15.0,44.05,6.94,54.49,Medium
49.65,20.18,34.38,6.6,47.11,Medium
46.29,38.2,21.53,6.39,61.88,Medium
97.21,54.37,68.36,6.22,45.0,High
32.22,42.25,41.75,6.1,53.26,Medium
23.08,17.07,8.97,5.49,9.05,Low
107.2,58.44,64.67,6.17,58.41,High
46.05,25.34,32.96,6.35,55.91,Medium
56.37,29.76,30.07,6.59,70.0,Medium
88.76,75.97,30.0,7.21,55.0,High
